%time,field.data
1569683677430878696,-2.276853785
1569683677431114916,-2.256876163
1569683677431120621,-1.678471645
1569683677431273199,-1.66213336
1569683677431280272,-1.033066464
1569683677431373495,-1.017816618
1569683677431378036,-0.75988874
1569683677431469776,-0.752652049
1569683677431478726,-0.652105805
1569683677431685855,-0.668643759
1569683677431693665,-1.551011989
1569683677431832805,-1.572292885
1569683677431838801,-0.386253562
1569683677431970299,-0.316523551
1569683677431978317,0.897438059
1569683677432193759,0.970183612
1569683677432210032,1.574880829
1569683677432347992,1.577471875
1569683677432356323,1.435542297
1569683677432498808,1.428269658
1569683677432511052,1.15161626
1569683677432711458,1.123426742
1569683677432718382,0.636041783
1569683677432882338,0.598986654
1569683677432888634,-0.146551727
1569683677433051744,-0.145430228
1569683677433058422,-2.064618739
1569683677433240226,-2.131859163
1569683677433247345,-4.520204638
1569683677433400394,-4.553827174
1569683677433408125,-3.07409321
1569683677433555907,-3.290692002
1569683677433561649,-3.951711346
1569683677433696056,-3.952066644
1569683677433703961,-1.662730509
1569683677433839240,-1.638445914
1569683677433846724,-0.4941334
1569683677434003742,-0.436465286
1569683677434010679,-0.786600039
1569683677434151742,-0.772626494
1569683677434160177,-1.949421872
1569683677434278465,-1.958682952
1569683677434285999,-2.118665671
1569683677434356591,-2.123476477
1569683677434624797,-2.132111722
1569683677434632373,-2.360524003
1569683677435270228,-2.369267939
1569683677435280399,2.735125535
1569683677435466967,2.738741605
1569683677435474519,2.184366862
1569683677435592736,2.195433066
1569683677435599728,0.943371957
1569683677435737517,0.814747943
1569683677435743539,-1.245925988
1569683677435876078,-1.261997045
1569683677435882611,-3.437439125
1569683677436032184,-3.449219328
1569683677436044532,-4.412095407
1569683677436274182,-4.453531645
1569683677436282458,-4.313719593
1569683677436497199,-4.295514643
1569683677436505525,-3.772228723
1569683677436727051,-3.771197665
1569683677436734277,-1.53764093
1569683677436852084,-1.473325671
1569683677436859338,3.514528649
1569683677436954387,3.683889754
1569683677436961222,4.648889272
1569683677437035452,4.655583489
1569683677437050780,4.546922586
1569683677437204024,4.548476098
1569683677437210604,4.258472101
1569683677437376655,4.214773868
1569683677437382580,3.482186596
1569683677437579202,3.404472421
1569683677437585647,2.556409888
1569683677437850351,2.570991912
1569683677437858328,0.671989358
1569683677438108571,0.678952856
1569683677438114172,-1.916749242
1569683677438273462,-1.899960387
1569683677438279344,-2.588853072
1569683677438789717,-2.62736695
1569683677438796646,-2.448149185
1569683677438943226,-2.447766044
1569683677438950122,-0.614182193
1569683677439102455,-0.50678927
1569683677439115693,1.886142911
1569683677439267273,1.930662822
1569683677439279340,2.922426801
1569683677439425946,2.923068471
1569683677439433997,2.69453581
1569683677439562280,2.695351102
1569683677439568354,2.687815865
1569683677439774830,2.690049445
1569683677439781348,2.705964598
1569683677440072412,2.686597395
1569683677440090126,0.975624754
1569683677440356505,0.958860182
1569683677440368989,4.673872429
1569683677440551509,4.868844205
1569683677440557356,5.140827195
1569683677440903755,5.087598795
1569683677440910681,0.416802823
1569683677441202982,0.319408017
1569683677441217410,0.100183163
1569683677441391322,0.11128024
